지점,지점명,일시,합계 일사량(MJ/m2),위도,경도
133,대전,24-6,697.02,36.37199,127.3721
133,대전,24-7,460.51,36.37199,127.3721
133,대전,24-8,612.88,36.37199,127.3721
133,대전,24-9,485.82,36.37199,127.3721
133,대전,24-10,340.01,36.37199,127.3721
133,대전,24-11,308.4,36.37199,127.3721
135,추풍령,23-11,305.05,36.22025,127.99458
135,추풍령,23-12,237.97,36.22025,127.99458
135,추풍령,24-1,282.35,36.22025,127.99458
135,추풍령,24-2,245.25,36.22025,127.99458
135,추풍령,24-3,468.19,36.22025,127.99458
135,추풍령,24-4,511.78,36.22025,127.99458
135,추풍령,24-5,709.16,36.22025,127.99458
135,추풍령,24-6,683.76,36.22025,127.99458
135,추풍령,24-7,478.38,36.22025,127.99458
135,추풍령,24-8,631.16,36.22025,127.99458
135,추풍령,24-9,451.66,36.22025,127.99458
135,추풍령,24-10,305.51,36.22025,127.99458
135,추풍령,24-11,292.46,36.22025,127.99458
136,안동,23-11,326.52,36.57293,128.70734
136,안동,23-12,264,36.57293,128.70734
136,안동,24-1,304.35,36.57293,128.70734
136,안동,24-2,255.71,36.57293,128.70734
136,안동,24-3,457.57,36.57293,128.70734
136,안동,24-4,542.49,36.57293,128.70734
136,안동,24-5,719.62,36.57293,128.70734
136,안동,24-6,686.71,36.57293,128.70734
136,안동,24-7,535.42,36.57293,128.70734
136,안동,24-8,637.23,36.57293,128.70734
136,안동,24-9,478.28,36.57293,128.70734
136,안동,24-10,330.36,36.57293,128.70734
136,안동,24-11,293.83,36.57293,128.70734
137,상주,23-11,313.82,36.40837,128.15741
137,상주,23-12,247.08,36.40837,128.15741
137,상주,24-1,290.34,36.40837,128.15741
137,상주,24-2,256.97,36.40837,128.15741
137,상주,24-3,457.3,36.40837,128.15741
137,상주,24-4,517.17,36.40837,128.15741
137,상주,24-5,713.2,36.40837,128.15741
137,상주,24-6,702.14,36.40837,128.15741
137,상주,24-7,500.75,36.40837,128.15741
137,상주,24-8,654.82,36.40837,128.15741
137,상주,24-9,463.3,36.40837,128.15741
137,상주,24-10,338.72,36.40837,128.15741
137,상주,24-11,297.12,36.40837,128.15741
138,포항,23-11,339.02,36.03201,129.38002
138,포항,23-12,267.53,36.03201,129.38002
138,포항,24-1,301.4,36.03201,129.38002
138,포항,24-2,235.32,36.03201,129.38002
138,포항,24-3,461.5,36.03201,129.38002
138,포항,24-4,504.71,36.03201,129.38002
138,포항,24-5,724.89,36.03201,129.38002
138,포항,24-6,654.9,36.03201,129.38002
138,포항,24-7,534.44,36.03201,129.38002
138,포항,24-8,650.3,36.03201,129.38002
138,포항,24-9,421.33,36.03201,129.38002
138,포항,24-10,313.9,36.03201,129.38002
138,포항,24-11,258.65,36.03201,129.38002
143,대구,23-11,335.24,35.87797,128.65295
143,대구,23-12,264.12,35.87797,128.65295
143,대구,24-1,311.95,35.87797,128.65295
143,대구,24-2,258.08,35.87797,128.65295
143,대구,24-3,469.72,35.87797,128.65295
143,대구,24-4,511.52,35.87797,128.65295
143,대구,24-5,723.92,35.87797,128.65295
143,대구,24-6,644.38,35.87797,128.65295
